Student_ID,CGPA,SSC_Marks,HSC_Marks,Internship_Count,Internship_Duration_Months,Projects,Workshops_Certifications,Extracurricular_Activities,Active_Backlogs,Placement_Training,Placement_Status
STU00001,7.35,78.8,64.16,0,0,3,2,1,0,Yes,0
STU00002,5.8,57.58,48.53,1,3,5,2,0,0,No,1
STU00003,7.86,84.52,68.94,2,3,1,3,2,0,Yes,1
STU00004,8.08,84.92,74.99,0,0,3,3,3,1,No,1
STU00005,4.76,48.6,41.66,0,0,0,6,1,0,Yes,0
STU00006,5.5,51.16,43.96,0,0,0,3,2,0,Yes,0
STU00007,7.15,72.6,71.52,2,5,2,2,2,2,No,0
STU00008,6.64,64.9,54.62,2,5,2,0,3,0,No,0
STU00009,6.98,59.11,49.72,2,4,5,1,1,0,No,1
STU00010,6.02,49.16,40.78,0,0,1,5,2,0,Yes,0
STU00011,8.01,75.48,78.55,1,2,3,3,2,0,No,0
STU00012,7.89,87.06,73.89,2,3,5,4,1,0,Yes,1
STU00013,7.08,79.01,58.66,2,3,5,2,2,1,Yes,1
STU00014,8.3,71.14,92.91,0,0,1,1,2,0,No,1
STU00015,7.54,85.33,77.91,0,0,2,0,1,0,No,0
STU00016,6.01,54.35,50.48,1,1,2,2,3,0,Yes,1
STU00017,7.42,80.35,72.67,2,6,4,1,2,1,No,0
STU00018,5.9,55.81,48.18,0,0,1,1,1,0,No,0
STU00019,8.01,90.29,71.13,0,0,4,3,3,0,No,1
STU00020,6.94,68.21,70.14,2,3,6,3,2,0,Yes,1
STU00021,6.79,56.28,66.57,0,0,2,3,2,0,No,1
STU00022,6.22,55.58,41.35,0,0,3,2,1,1,Yes,1
STU00023,8.41,88.08,83.35,1,1,2,1,0,0,No,1
STU00024,6.82,63.78,64.1,2,5,4,1,1,1,No,0
STU00025,6.51,64.11,55.23,1,3,4,2,2,1,Yes,0
STU00026,6.6,61.02,71.0,3,7,5,1,1,0,Yes,1
STU00027,7.61,73.35,85.86,2,5,3,2,1,0,No,1
STU00028,7.42,67.69,68.94,0,0,0,4,1,2,Yes,0
STU00029,7.47,72.66,70.68,0,0,3,1,1,0,Yes,0
STU00030,7.5,76.57,70.3,0,0,2,2,1,1,No,1
STU00031,9.46,77.52,82.61,1,2,4,2,5,1,No,1
STU00032,6.53,55.85,52.01,1,3,2,2,3,0,Yes,1
STU00033,6.41,46.83,58.85,1,2,1,0,2,0,No,0
STU00034,6.06,50.71,63.18,1,1,5,1,2,0,No,0
STU00035,7.71,85.42,84.54,0,0,3,0,1,0,No,0
STU00036,8.3,77.06,85.91,0,0,1,3,3,0,Yes,1
STU00037,6.87,69.95,48.29,1,2,2,0,1,0,No,0
STU00038,6.03,71.15,39.87,0,0,0,2,2,0,Yes,1
STU00039,6.05,62.95,57.61,0,0,0,4,1,0,Yes,0
STU00040,7.75,79.52,85.44,2,5,3,4,5,0,No,1
STU00041,7.85,85.04,80.22,1,2,3,3,1,0,Yes,1
STU00042,7.62,68.86,72.25,1,2,2,1,1,0,Yes,1
STU00043,6.23,47.0,61.55,0,0,2,2,1,0,Yes,1
